Dummy,File
DW,Drew Industries Incorporated,Consumer Goods,Recreational Vehicles,WIKI/DW,stocks/dw
DWCH,Datawatch Corporation,Technology,Business Software & Services,NA,stocks/dwch
DWRE,"Demandware, Inc.",Technology,Application Software,WIKI/DWRE,stocks/dwre
DWSN,Dawson Geophysical Company,Basic Materials,Oil & Gas Equipment & Services,WIKI/DWSN,stocks/dwsn
DX,Dynex Capital Inc.,Financial,REIT - Residential,NA,stocks/dx
DXCM,"DexCom, Inc.",Healthcare,Medical Instruments & Supplies,WIKI/DXCM,stocks/dxcm
DXLG,"Destination XL Group, Inc.",Services,Apparel Stores,WIKI/DXLG,stocks/dxlg
DXM,"Dex Media, Inc.",Services,Marketing Services,WIKI/DXM,NA
DXPE,"DXP Enterprises, Inc.",Services,Industrial Equipment Wholesale,WIKI/DXPE,stocks/dxpe
DXR,Daxor Corp.,Healthcare,Medical Instruments & Supplies,NA,stocks/dxr
DY,Dycom Industries Inc.,Industrial Goods,Heavy Construction,WIKI/DY,stocks/dy
DYAX,Dyax Corp.,Healthcare,Biotechnology,WIKI/DYAX,stocks/dyax
DYII,Dynacq Healthcare Inc.,Healthcare,Hospitals,NA,stocks/dyii
DYNIQ,DYNEGY INC NEW,,,NA,stocks/dyniq
DYSL,Dynasil Corporation of America,Technology,Scientific & Technical Instruments,NA,stocks/dysl
EAC,Erickson Incorporated,Industrial Goods,Aerospace/Defense - Major Diversified,WIKI/EAC,stocks/eac
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,WIKI/EA,stocks/ea
EBF,Ennis Inc.,Consumer Goods,Office Supplies,WIKI/EBF,stocks/ebf
EAT,"Brinker International, Inc.",Services,Restaurants,WIKI/EAT,stocks/eat
EBIX,Ebix Inc.,Technology,Business Software & Services,WIKI/EBIX,stocks/ebix
EBAY,eBay Inc.,Services,"Specialty Retail, Other",WIKI/EBAY,stocks/ebay
EBMT,"Eagle Bancorp Montana, Inc.",Financial,Regional - Pacific Banks,NA,stocks/ebmt
EBSB,"Meridian Interstate Bancorp, Inc.",Financial,Savings & Loans,WIKI/EBSB,stocks/ebsb
EBTC,Enterprise Bancorp Inc.,Financial,Savings & Loans,WIKI/EBTC,stocks/ebtc
EBS,"Emergent BioSolutions, Inc.",Healthcare,Biotechnology,WIKI/EBS,stocks/ebs
ECHO,"Echo Global Logistics, Inc.",Services,Trucking,WIKI/ECHO,stocks/echo
ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,WIKI/ECL,stocks/ecl
ECOL,"US Ecology, Inc.",Industrial Goods,Waste Management,WIKI/ECOL,stocks/ecol
ECOM,ChannelAdvisor Corporation,Technology,Application Software,WIKI/ECOM,stocks/ecom
ECTE,"Echo Therapeutics, Inc.",Healthcare,Drug Manufacturers - Major,NA,stocks/ecte
ECTY,"ECOtality, Inc.",,,NA,stocks/ecty
ECYT,"Endocyte, Inc.",Healthcare,Biotechnology,WIKI/ECYT,stocks/ecyt
ED,"Consolidated Edison, Inc.",Utilities,Diversified Utilities,WIKI/ED,stocks/ed
EDGW,Edgewater Technology Inc.,Technology,Information Technology Services,NA,stocks/edgw
EDMC,Education Management Corporation,Services,Education & Training Services,WIKI/EDMC,stocks/edmc
EDE,The Empire District Electric Company,Utilities,Electric Utilities,WIKI/EDE,stocks/ede
EDR,"Education Realty Trust, Inc.",Financial,REIT - Residential,NA,NA
EDUC,Educational Development Corporation,Services,Publishing - Books,NA,stocks/educ
